date,storage,inflow,outflow,evaporation,elevation,,,,,,,
7/1/65,NA,7577.576,6875.319,NA,NA,,,,,,,
7/2/65,NA,7328.388,6742.23,NA,NA,,,,,,,
7/3/65,NA,6869.656,6476.052,NA,NA,,,,,,,
7/4/65,NA,6951.774,6232.528,NA,NA,,,,,,,
7/5/65,NA,6818.685,6122.092,NA,NA,,,,,,,
7/6/65,NA,6832.844,6229.696,NA,NA,,,,,,,
7/7/65,NA,6762.052,6512.864,NA,NA,,,,,,,
7/8/65,NA,6934.784,6569.498,NA,NA,,,,,,,
7/9/65,NA,6982.923,6563.834,NA,NA,,,,,,,
7/10/65,NA,7028.23,6665.775,NA,NA,,,,,,,
7/11/65,NA,7096.19,6818.685,NA,NA,,,,,,,
7/12/65,NA,7050.883,6821.517,NA,NA,,,,,,,
7/13/65,NA,7008.408,6847.002,NA,NA,,,,,,,
7/14/65,NA,6844.171,6626.131,NA,NA,,,,,,,
7/15/65,NA,6626.131,6229.696,NA,NA,,,,,,,
7/16/65,NA,6510.032,6173.062,NA,NA,,,,,,,
7/17/65,NA,6054.132,6088.112,NA,NA,,,,,,,
7/18/65,NA,5889.894,5601.063,NA,NA,,,,,,,
7/19/65,NA,5921.043,5552.924,NA,NA,,,,,,,
7/20/65,NA,5847.419,5433.994,NA,NA,,,,,,,
7/21/65,NA,5504.786,5442.489,NA,NA,,,,,,,
7/22/65,NA,5374.529,5643.538,NA,NA,,,,,,,
7/23/65,NA,5023.4,5669.023,NA,NA,,,,,,,
7/24/65,NA,4816.688,5484.964,NA,NA,,,,,,,
7/25/65,NA,4918.628,5000.747,NA,NA,,,,,,,
7/26/65,NA,4873.321,4550.51,NA,NA,,,,,,,
7/27/65,NA,4791.203,4474.054,NA,NA,,,,,,,
7/28/65,NA,4482.549,3907.718,NA,NA,,,,,,,
7/29/65,NA,4462.728,3539.6,NA,NA,,,,,,,
7/30/65,NA,4340.965,3313.066,NA,NA,,,,,,,
7/31/65,NA,4292.827,3284.749,NA,NA,,,,,,,
8/1/65,NA,4323.975,3256.432,NA,NA,,,,,,,
8/2/65,NA,4287.164,3398.016,NA,NA,,,,,,,
8/3/65,NA,4250.352,3652.867,NA,NA,,,,,,,
8/4/65,NA,4213.54,3709.501,NA,NA,,,,,,,
8/5/65,NA,4491.044,4304.154,NA,NA,,,,,,,
8/6/65,NA,4329.639,3822.768,NA,NA,,,,,,,
8/7/65,NA,4326.807,3794.451,NA,NA,,,,,,,
8/8/65,NA,3984.174,3766.134,NA,NA,,,,,,,
8/9/65,NA,4023.817,3737.818,NA,NA,,,,,,,
8/10/65,NA,4125.758,3709.501,NA,NA,,,,,,,
8/11/65,NA,4088.946,3652.867,NA,NA,,,,,,,
8/12/65,NA,4074.788,3709.501,NA,NA,,,,,,,
8/13/65,NA,4216.372,3766.134,NA,NA,,,,,,,
8/14/65,NA,4086.114,3766.134,NA,NA,,,,,,,
